study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
GLDS-380,Space biology research study on Homo sapiens - GLDS-380,2023,Space Shuttle,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1448/example.glds-380,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-380,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-381,Space biology research study on Rattus norvegicus - GLDS-381,2024,,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-381,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-382,Space biology research study on Mus musculus - GLDS-382,2015,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1450/example.glds-382,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-382,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-383,Space biology research study on Arabidopsis thaliana - GLDS-383,2016,ISS Expedition 50,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-383,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-384,Space biology research study on Drosophila melanogaster - GLDS-384,2017,ISS Expedition 60,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1452/example.glds-384,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-384,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-385,Space biology research study on Caenorhabditis elegans - GLDS-385,2018,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-385,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-386,Space biology research study on Homo sapiens - GLDS-386,2019,,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1454/example.glds-386,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-386,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-387,Space biology research study on Rattus norvegicus - GLDS-387,2020,ISS,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-387,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-388,Space biology research study on Mus musculus - GLDS-388,2021,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1456/example.glds-388,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-388,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-389,Space biology research study on Arabidopsis thaliana - GLDS-389,2022,ISS Expedition 60,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-389,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-390,Space biology research study on Drosophila melanogaster - GLDS-390,2023,Space Shuttle,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1458/example.glds-390,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-390,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-391,Space biology research study on Caenorhabditis elegans - GLDS-391,2024,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-391,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-392,Space biology research study on Homo sapiens - GLDS-392,2015,ISS,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1460/example.glds-392,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-392,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-393,Space biology research study on Rattus norvegicus - GLDS-393,2016,ISS Expedition 50,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-393,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-394,Space biology research study on Mus musculus - GLDS-394,2017,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1462/example.glds-394,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-394,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-395,Space biology research study on Arabidopsis thaliana - GLDS-395,2018,Space Shuttle,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-395,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-396,Space biology research study on Drosophila melanogaster - GLDS-396,2019,,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1464/example.glds-396,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-396,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-397,Space biology research study on Caenorhabditis elegans - GLDS-397,2020,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-397,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-398,Space biology research study on Homo sapiens - GLDS-398,2021,ISS Expedition 50,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1466/example.glds-398,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-398,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-399,Space biology research study on Rattus norvegicus - GLDS-399,2022,ISS Expedition 60,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-399,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-400,Space biology research study on Mus musculus - GLDS-400,2023,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1468/example.glds-400,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-400,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-401,Space biology research study on Arabidopsis thaliana - GLDS-401,2024,,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-401,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-402,Space biology research study on Drosophila melanogaster - GLDS-402,2015,ISS,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1470/example.glds-402,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-402,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-403,Space biology research study on Caenorhabditis elegans - GLDS-403,2016,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-403,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-404,Space biology research study on Homo sapiens - GLDS-404,2017,ISS Expedition 60,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1472/example.glds-404,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-404,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-405,Space biology research study on Rattus norvegicus - GLDS-405,2018,Space Shuttle,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-405,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-406,Space biology research study on Mus musculus - GLDS-406,2019,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1474/example.glds-406,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-406,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-407,Space biology research study on Arabidopsis thaliana - GLDS-407,2020,ISS,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-407,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-408,Space biology research study on Drosophila melanogaster - GLDS-408,2021,ISS Expedition 50,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1476/example.glds-408,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-408,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-409,Space biology research study on Caenorhabditis elegans - GLDS-409,2022,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-409,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-410,Space biology research study on Homo sapiens - GLDS-410,2023,Space Shuttle,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1478/example.glds-410,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-410,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-411,Space biology research study on Rattus norvegicus - GLDS-411,2024,,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-411,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-412,Space biology research study on Mus musculus - GLDS-412,2015,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1480/example.glds-412,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-412,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-413,Space biology research study on Arabidopsis thaliana - GLDS-413,2016,ISS Expedition 50,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-413,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-414,Space biology research study on Drosophila melanogaster - GLDS-414,2017,ISS Expedition 60,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1482/example.glds-414,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-414,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-415,Space biology research study on Caenorhabditis elegans - GLDS-415,2018,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-415,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-416,Space biology research study on Homo sapiens - GLDS-416,2019,,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1484/example.glds-416,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-416,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-417,Space biology research study on Rattus norvegicus - GLDS-417,2020,ISS,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-417,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-418,Space biology research study on Mus musculus - GLDS-418,2021,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1486/example.glds-418,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-418,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-419,Space biology research study on Arabidopsis thaliana - GLDS-419,2022,ISS Expedition 60,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-419,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-420,Space biology research study on Drosophila melanogaster - GLDS-420,2023,Space Shuttle,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1488/example.glds-420,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-420,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-421,Space biology research study on Caenorhabditis elegans - GLDS-421,2024,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-421,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-422,Space biology research study on Homo sapiens - GLDS-422,2015,ISS,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1490/example.glds-422,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-422,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-423,Space biology research study on Rattus norvegicus - GLDS-423,2016,ISS Expedition 50,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-423,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-424,Space biology research study on Mus musculus - GLDS-424,2017,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1492/example.glds-424,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-424,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-425,Space biology research study on Arabidopsis thaliana - GLDS-425,2018,Space Shuttle,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-425,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-426,Space biology research study on Drosophila melanogaster - GLDS-426,2019,,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1494/example.glds-426,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-426,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-427,Space biology research study on Caenorhabditis elegans - GLDS-427,2020,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-427,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-428,Space biology research study on Homo sapiens - GLDS-428,2021,ISS Expedition 50,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1496/example.glds-428,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-428,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-429,Space biology research study on Rattus norvegicus - GLDS-429,2022,ISS Expedition 60,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-429,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-430,Space biology research study on Mus musculus - GLDS-430,2023,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1498/example.glds-430,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-430,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-431,Space biology research study on Arabidopsis thaliana - GLDS-431,2024,,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-431,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-432,Space biology research study on Drosophila melanogaster - GLDS-432,2015,ISS,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1500/example.glds-432,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-432,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-433,Space biology research study on Caenorhabditis elegans - GLDS-433,2016,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-433,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-434,Space biology research study on Homo sapiens - GLDS-434,2017,ISS Expedition 60,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1502/example.glds-434,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-434,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-435,Space biology research study on Rattus norvegicus - GLDS-435,2018,Space Shuttle,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-435,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-436,Space biology research study on Mus musculus - GLDS-436,2019,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1504/example.glds-436,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-436,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
